([34, 97], 2, {'feature': 34, 0: {'feature': 97, 0: -1, 1: 2}, 1: {'feature': 97, 0: 2, 1: -1}}, 0.5060869565217392)
([34, 97], 3, {'feature': 97, 0: {'feature': 34, 0: -1, 1: -1}, 1: {'feature': 34, 0: -1, 1: -1}}, 0.88)
([34, 97], 4, {'feature': 97, 0: {'feature': 34, 0: -1, 1: -1}, 1: {'feature': 34, 0: -1, 1: -1}}, 0.8565217391304348)
([172, 212], 0, {'feature': 172, 0: {'feature': 212, 0: -1, 1: -1}, 1: {'feature': 212, 0: -1, 1: -1}}, 0.86)
([172, 212], 1, {'feature': 212, 0: {'feature': 172, 0: -1, 1: -1}, 1: {'feature': 172, 0: -1, 1: -1}}, 0.9013043478260869)
([172, 212], 2, {'feature': 212, 0: {'feature': 172, 0: 2, 1: 2}, 1: {'feature': 172, 0: -1, 1: -1}}, 0.5030434782608696)
([172, 212], 3, {'feature': 212, 0: {'feature': 172, 0: -1, 1: -1}, 1: {'feature': 172, 0: -1, 1: -1}}, 0.88)
([172, 212], 4, {'feature': 212, 0: {'feature': 172, 0: -1, 1: -1}, 1: {'feature': 172, 0: -1, 1: -1}}, 0.8565217391304348)
([93, 180], 0, {'feature': 93, 0: {'feature': 180, 0: -1, 1: -1}, 1: {'feature': 180, 0: -1, 1: -1}}, 0.86)
([93, 180], 1, {'feature': 180, 0: {'feature': 93, 0: -1, 1: -1}, 1: -1}, 0.9013043478260869)
([93, 180], 2, {'feature': 180, 0: {'feature': 93, 0: -1, 1: -1}, 1: {'feature': 93, 0: 2, 1: -1}}, 0.5069565217391304)
([93, 180], 3, {'feature': 93, 0: {'feature': 180, 0: -1, 1: -1}, 1: {'feature': 180, 0: -1, 1: -1}}, 0.88)
([93, 180], 4, {'feature': 93, 0: {'feature': 180, 0: -1, 1: -1}, 1: {'feature': 180, 0: -1, 1: -1}}, 0.8565217391304348)
([72, 89], 0, {'feature': 72, 0: {'feature': 89, 0: -1, 1: -1}, 1: {'feature': 89, 0: -1, 1: -1}}, 0.86)
([72, 89], 1, {'feature': 89, 0: {'feature': 72, 0: -1, 1: -1}, 1: {'feature': 72, 0: -1, 1: -1}}, 0.9013043478260869)
([72, 89], 2, {'feature': 72, 0: {'feature': 89, 0: 2, 1: -1}, 1: {'feature': 89, 0: -1, 1: 2}}, 0.5352173913043479)
